bet_id,timestamp,city,station,question,slug,market_id,yes_token,end_date,bucket_low_f,bucket_high_f,is_open_ended_low,is_open_ended_high,side,ask_price,stake,shares,gross_if_win,fee_if_win,net_profit_if_win,net_loss_if_lose,ensemble_prob,edge_pct,gfs_mean_f,ecmwf_mean_f,n_members,brain_multiplier,brain_rationale,status,result,actual_high_f,settled_at,pnl,is_test,metric,display_unit
highest-temperature-in-atlanta-on-june-27-2026-92-93f__2026-06-26T1800,2026-06-26T18:00:23Z,Atlanta,KATL,Will the highest temperature in Atlanta be between 92-93°F on June 27?,highest-temperature-in-atlanta-on-june-27-2026-92-93f,2687176,30094574039927706188202527510514875070776695996935902395409326041440952343567,2026-06-27T12:00:00Z,92.0,93.0,False,False,NO,0.31,100.0,144.9275,144.9275,2.8986,42.029,-100.0,0.0877,22.23,90.0,88.6,206,1.0,,settled,LOST,93.2,2026-06-28T08:00:38Z,-100.0,N,high,f
highest-temperature-in-nyc-on-june-29-2026-88-89f__2026-06-28T0830,2026-06-28T08:30:30Z,New York City,KLGA,Will the highest temperature in New York City be between 88-89°F on June 29?,highest-temperature-in-nyc-on-june-29-2026-88-89f,2714183,93874586967842564130463575245429538185290500209674404666120614427164903330033,2026-06-29T12:00:00Z,88.0,89.0,False,False,NO,0.15,100.0,117.6471,117.6471,2.3529,15.2942,-100.0,0.0678,8.22,84.7,84.1,206,1.0,,settled,LOST,87.8,2026-06-30T08:00:31Z,-100.0,N,high,f
highest-temperature-in-denver-on-june-29-2026-86-87f__2026-06-28T0930,2026-06-28T09:30:20Z,Denver,KBKF,Will the highest temperature in Denver be between 86-87°F on June 29?,highest-temperature-in-denver-on-june-29-2026-86-87f,2714247,58926768772582278873771488515905120879733888133994090710540127509597046156091,2026-06-29T12:00:00Z,86.0,87.0,False,False,NO,0.17,100.0,120.4819,120.4819,2.4096,18.0723,-100.0,0.0909,7.91,90.7,89.5,206,1.0,,settled,WON,88.9,2026-06-30T08:00:32Z,18.0723,N,high,f
highest-temperature-in-denver-on-june-28-2026-92-93f__2026-06-28T0930,2026-06-28T09:30:20Z,Denver,KBKF,Will the highest temperature in Denver be between 92-93°F on June 28?,highest-temperature-in-denver-on-june-28-2026-92-93f,2701079,105960501804190128480110223444659809630020693601513171873862430183353963952985,2026-06-28T12:00:00Z,92.0,93.0,False,False,NO,0.16,100.0,119.0476,119.0476,2.381,16.6666,-100.0,0.0344,12.56,95.1,94.6,206,1.0,,settled,WON,93.9,2026-06-29T08:00:40Z,16.6666,N,high,f
highest-temperature-in-austin-on-june-29-2026-94-95f__2026-06-28T1100,2026-06-28T11:00:29Z,Austin,KAUS,Will the highest temperature in Austin be between 94-95°F on June 29?,highest-temperature-in-austin-on-june-29-2026-94-95f,2714233,85452227613488954076417840259112115389665420989459796737122194614772816542895,2026-06-29T12:00:00Z,94.0,95.0,False,False,NO,0.31,100.0,144.9275,144.9275,2.8986,42.029,-100.0,0.0479,26.21,101.6,99.9,206,1.0,,settled,WON,97.0,2026-06-30T08:00:33Z,42.029,N,high,f
highest-temperature-in-atlanta-on-june-30-2026-90-91f__2026-06-29T0830,2026-06-29T08:30:22Z,Atlanta,KATL,Will the highest temperature in Atlanta be between 90-91°F on June 30?,highest-temperature-in-atlanta-on-june-30-2026-90-91f,2725245,21549409151438245242601889243909903143084024367820519249606812791940295005702,2026-06-30T12:00:00Z,90.0,91.0,False,False,NO,0.07,100.0,107.5269,107.5269,2.1505,5.3764,-100.0,0.0157,5.43,96.9,96.4,206,1.0,,settled,WON,96.8,2026-07-01T08:00:38Z,5.3764,N,high,f
highest-temperature-in-miami-on-july-1-2026-88-89f__2026-06-30T0930,2026-06-30T09:30:29Z,Miami,KMIA,Will the highest temperature in Miami be between 88-89°F on July 1?,highest-temperature-in-miami-on-july-1-2026-88-89f,2737668,48541316566484124187239359459856349463563135315819117028914087598358182544094,2026-07-01T12:00:00Z,88.0,89.0,False,False,NO,0.12,100.0,113.6364,113.6364,2.2727,11.3637,-100.0,0.0441,7.59,89.4,90.6,206,1.0,,settled,WON,93.2,2026-07-02T08:00:32Z,11.3637,N,high,f
highest-temperature-in-chicago-on-july-1-2026-92-93f__2026-06-30T1330,2026-06-30T13:30:18Z,Chicago,KORD,Will the highest temperature in Chicago be between 92-93°F on July 1?,highest-temperature-in-chicago-on-july-1-2026-92-93f,2737679,2333324199956580293020644295112690953142328981420406554546179073102091952775,2026-07-01T12:00:00Z,92.0,93.0,False,False,NO,0.16,100.0,119.0476,119.0476,2.381,16.6666,-100.0,0.0849,7.51,95.3,95.6,206,1.0,,settled,WON,95.0,2026-07-02T08:00:33Z,16.6666,N,high,f
highest-temperature-in-denver-on-july-2-2026-94-95f__2026-07-01T0230,2026-07-01T02:30:20Z,Denver,KBKF,Will the highest temperature in Denver be between 94-95°F on July 2?,highest-temperature-in-denver-on-july-2-2026-94-95f,2749978,23686736048500921127280048786347053287733022370544935504888565591030411116159,2026-07-02T12:00:00Z,94.0,95.0,False,False,NO,0.31,100.0,144.9275,144.9275,2.8986,42.029,-100.0,0.0698,24.02,93.0,92.8,206,1.0,,settled,WON,89.6,2026-07-03T08:00:40Z,42.029,N,high,f
highest-temperature-in-seattle-on-july-1-2026-68-69f__2026-07-01T0830,2026-07-01T08:30:17Z,Seattle,KSEA,Will the highest temperature in Seattle be between 68-69°F on July 1?,highest-temperature-in-seattle-on-july-1-2026-68-69f,2737619,46004550057364603565546218620529022418395954529438227601635787189154140595044,2026-07-01T12:00:00Z,68.0,69.0,False,False,NO,0.27,100.0,136.9863,136.9863,2.7397,34.2466,-100.0,0.0961,17.39,66.6,67.4,206,1.0,,settled,WON,64.4,2026-07-02T08:00:34Z,34.2466,N,high,f
highest-temperature-in-nyc-on-july-2-2026-104-105f__2026-07-02T0830,2026-07-02T08:30:16Z,New York City,KLGA,Will the highest temperature in New York City be between 104-105°F on July 2?,highest-temperature-in-nyc-on-july-2-2026-104-105f,2749911,107753337424278900421707814768115036075246474043028811461048018666500641558378,2026-07-02T12:00:00Z,104.0,105.0,False,False,NO,0.079,100.0,108.5776,108.5776,2.1716,6.406,-100.0,0.0034,7.56,100.1,100.0,206,1.0,,settled,WON,102.2,2026-07-03T08:00:42Z,6.406,N,high,f
highest-temperature-in-atlanta-on-july-3-2026-92-93f__2026-07-02T0830,2026-07-02T08:30:25Z,Atlanta,KATL,Will the highest temperature in Atlanta be between 92-93°F on July 3?,highest-temperature-in-atlanta-on-july-3-2026-92-93f,2763841,9339564621869265619915529010235008397606383356248130559011849281174141997663,2026-07-03T12:00:00Z,92.0,93.0,False,False,NO,0.16,100.0,119.0476,119.0476,2.381,16.6666,-100.0,0.0429,11.71,98.5,97.7,206,1.0,,settled,WON,95.0,2026-07-04T08:00:36Z,16.6666,N,high,f
highest-temperature-in-dallas-on-july-3-2026-92-93f__2026-07-02T0830,2026-07-02T08:30:33Z,Dallas,KDAL,Will the highest temperature in Dallas be between 92-93°F on July 3?,highest-temperature-in-dallas-on-july-3-2026-92-93f,2763828,21645553524197495294265170805220608679865440671093501676890194987805152640419,2026-07-03T12:00:00Z,92.0,93.0,False,False,NO,0.12,100.0,113.6364,113.6364,2.2727,11.3637,-100.0,0.002,11.8,98.8,98.7,206,1.0,,settled,WON,98.6,2026-07-04T08:00:38Z,11.3637,N,high,f
highest-temperature-in-austin-on-july-4-2026-94-95f__2026-07-03T1630,2026-07-03T16:30:33Z,Austin,KAUS,Will the highest temperature in Austin be between 94-95°F on July 4?,highest-temperature-in-austin-on-july-4-2026-94-95f,2777802,14500601815419091025898580053794601006198665772275786917787601300843527801112,2026-07-04T12:00:00Z,94.0,95.0,False,False,NO,0.1,100.0,111.1111,111.1111,2.2222,8.8889,-100.0,0.015,8.5,99.4,98.2,206,1.0,,settled,WON,96.8,2026-07-05T08:00:28Z,8.8889,N,high,f
highest-temperature-in-dallas-on-july-4-2026-102-103f__2026-07-04T0300,2026-07-04T03:00:22Z,Dallas,KDAL,Will the highest temperature in Dallas be between 102-103°F on July 4?,highest-temperature-in-dallas-on-july-4-2026-102-103f,2777752,18331260256136008057404731954081973779784691639494078185861309181926609591212,2026-07-04T12:00:00Z,102.0,103.0,False,False,NO,0.07,100.0,107.5269,107.5269,2.1505,5.3764,-100.0,0.0121,5.79,99.2,99.8,206,1.0,,settled,WON,100.4,2026-07-05T08:00:29Z,5.3764,N,high,f
highest-temperature-in-nyc-on-july-5-2026-80-81f__2026-07-04T1200,2026-07-04T12:00:19Z,New York City,KLGA,Will the highest temperature in New York City be between 80-81°F on July 5?,highest-temperature-in-nyc-on-july-5-2026-80-81f,2790087,101827301003657004959728587239309996312801608593193029126245778007162576590905,2026-07-05T12:00:00Z,80.0,81.0,False,False,NO,0.112,100.0,112.6126,112.6126,2.2523,10.3603,-100.0,0.0464,6.56,86.0,87.0,206,1.0,,settled,WON,78.8,2026-07-06T08:00:39Z,10.3603,N,high,f
highest-temperature-in-nyc-on-july-5-2026-88-89f__2026-07-04T1200,2026-07-04T12:00:19Z,New York City,KLGA,Will the highest temperature in New York City be between 88-89°F on July 5?,highest-temperature-in-nyc-on-july-5-2026-88-89f,2790091,76698953214523489205737915602913378864443225632710518001858040575546474560614,2026-07-05T12:00:00Z,88.0,89.0,False,False,NO,0.104,100.0,111.6071,111.6071,2.2321,9.375,-100.0,0.0401,6.39,86.0,87.0,206,1.0,,settled,WON,78.8,2026-07-06T08:00:40Z,9.375,N,high,f
highest-temperature-in-denver-on-july-6-2026-98-99f__2026-07-05T0830,2026-07-05T08:30:15Z,Denver,KBKF,Will the highest temperature in Denver be between 98-99°F on July 6?,highest-temperature-in-denver-on-july-6-2026-98-99f,2801114,38930629457937844991534100840830667761718056679197838517602490667619722922499,2026-07-06T12:00:00Z,98.0,99.0,False,False,NO,0.124,100.0,114.1553,114.1553,2.2831,11.8722,-100.0,0.0571,6.69,96.8,95.8,206,1.0,,settled,WON,95.7,2026-07-07T08:00:37Z,11.8722,N,high,f
highest-temperature-in-denver-on-july-5-2026-96-97f__2026-07-05T0830,2026-07-05T08:30:15Z,Denver,KBKF,Will the highest temperature in Denver be between 96-97°F on July 5?,highest-temperature-in-denver-on-july-5-2026-96-97f,2790163,18059324731258598649379724472009847141651013772665639579784524771596006672300,2026-07-05T12:00:00Z,96.0,97.0,False,False,NO,0.08,100.0,108.6957,108.6957,2.1739,6.5218,-100.0,0.0135,6.65,94.1,94.0,206,1.0,,settled,WON,94.5,2026-07-06T08:00:41Z,6.5218,N,high,f
highest-temperature-in-chicago-on-july-7-2026-80-81f__2026-07-06T1100,2026-07-06T11:00:16Z,Chicago,KORD,Will the highest temperature in Chicago be between 80-81°F on July 7?,highest-temperature-in-chicago-on-july-7-2026-80-81f,2811622,112448117970095186753625555682500003994341940465174524112175377472957763672200,2026-07-07T12:00:00Z,80.0,81.0,False,False,NO,0.12,100.0,113.6364,113.6364,2.2727,11.3637,-100.0,0.0,12.0,86.8,85.1,206,1.0,,settled,WON,86.9,2026-07-08T08:00:37Z,11.3637,N,high,f
highest-temperature-in-miami-on-july-7-2026-94-95f__2026-07-06T1100,2026-07-06T11:00:33Z,Miami,KMIA,Will the highest temperature in Miami be between 94-95°F on July 7?,highest-temperature-in-miami-on-july-7-2026-94-95f,2811615,106359342281388517742964419978336526655104956528964408870111477614991955757219,2026-07-07T12:00:00Z,94.0,95.0,False,False,YES,0.059,73.73300536421972,1249.712,1249.712,24.9942,1150.9848,-73.733,0.1842,12.52,90.7,89.3,206,1.0,,settled,LOST,90.5,2026-07-08T08:00:39Z,-73.733,N,high,f
highest-temperature-in-dallas-on-july-7-2026-94-95f__2026-07-06T1500,2026-07-06T15:00:25Z,Dallas,KDAL,Will the highest temperature in Dallas be between 94-95°F on July 7?,highest-temperature-in-dallas-on-july-7-2026-94-95f,2811591,38749532240533362622555874576435309651009314767248139198129024039991662131954,2026-07-07T12:00:00Z,94.0,95.0,False,False,NO,0.29,100.0,140.8451,140.8451,2.8169,38.0282,-100.0,0.0327,25.73,101.1,100.7,206,1.0,,settled,WON,100.9,2026-07-08T08:00:39Z,38.0282,N,high,f
highest-temperature-in-denver-on-july-7-2026-90-91f__2026-07-06T1600,2026-07-06T16:00:23Z,Denver,KBKF,Will the highest temperature in Denver be between 90-91°F on July 7?,highest-temperature-in-denver-on-july-7-2026-90-91f,2811642,12922709388640661404096219081341185937398042223891874293102533689291003830355,2026-07-07T12:00:00Z,90.0,91.0,False,False,NO,0.09,100.0,109.8901,109.8901,2.1978,7.6923,-100.0,0.0123,7.77,95.1,96.6,206,1.0,,settled,WON,96.4,2026-07-08T08:00:40Z,7.6923,N,high,f
lowest-temperature-in-nyc-on-july-8-2026-62-63f__2026-07-07T0830,2026-07-07T08:30:16Z,New York City,KLGA,Will the lowest temperature in New York City be between 62-63°F on July 8?,lowest-temperature-in-nyc-on-july-8-2026-62-63f,2824650,24013411383155159877033084036716145726429956115198409190242200819131106323974,2026-07-08T12:00:00Z,62.0,63.0,False,False,NO,0.072,100.0,107.7586,107.7586,2.1552,5.6034,-100.0,0.0,7.2,67.4,67.2,206,1.0,,settled,WON,64.2,2026-07-09T08:00:37Z,5.6034,N,low,f
highest-temperature-in-atlanta-on-july-9-2026-90-91f__2026-07-08T1030,2026-07-08T10:30:23Z,Atlanta,KATL,Will the highest temperature in Atlanta be between 90-91°F on July 9?,highest-temperature-in-atlanta-on-july-9-2026-90-91f,2840273,3254941159432606061652051082120586280064148890428423949242122781662951104876,2026-07-09T12:00:00Z,90.0,91.0,False,False,NO,0.2,100.0,125.0,125.0,2.5,22.5,-100.0,0.1138,8.62,94.4,94.3,206,1.0,,settled,WON,92.1,2026-07-10T08:00:41Z,22.5,N,high,f
highest-temperature-in-houston-on-july-10-2026-90-91f__2026-07-09T0330,2026-07-09T03:30:29Z,Houston,KHOU,Will the highest temperature in Houston be between 90-91°F on July 10?,highest-temperature-in-houston-on-july-10-2026-90-91f,2853411,47360608058075441384471481866774622696615322978984185711799609916096681345016,2026-07-10T12:00:00Z,90.0,91.0,False,False,NO,0.18,100.0,121.9512,121.9512,2.439,19.5122,-100.0,0.0827,9.73,93.9,93.5,206,1.0,,settled,WON,88.7,2026-07-11T08:00:39Z,19.5122,N,high,f
highest-temperature-in-atlanta-on-july-9-2026-88-89f__2026-07-09T0600,2026-07-09T06:00:37Z,Atlanta,KATL,Will the highest temperature in Atlanta be between 88-89°F on July 9?,highest-temperature-in-atlanta-on-july-9-2026-88-89f,2840272,78690966477577493073866193014959733994055793552587742099635986509785640105031,2026-07-09T12:00:00Z,88.0,89.0,False,False,NO,0.078,47.706800000000044,51.7427,51.7427,1.0349,3.001,-47.7068,0.0038,7.42,94.6,93.5,206,1.0,,settled,WON,92.1,2026-07-10T08:00:42Z,3.001,N,high,f
highest-temperature-in-miami-on-july-10-2026-94-95f__2026-07-09T0830,2026-07-09T08:30:17Z,Miami,KMIA,Will the highest temperature in Miami be between 94-95°F on July 10?,highest-temperature-in-miami-on-july-10-2026-94-95f,2853371,111974718298512134617905762829304776274189497040115315642321804425696961779219,2026-07-10T12:00:00Z,94.0,95.0,False,False,YES,0.051,76.65373498763762,1503.0144,1503.0144,30.0603,1396.3004,-76.6537,0.213,16.2,90.7,89.9,206,1.0,,settled,LOST,90.7,2026-07-11T08:00:40Z,-76.6537,N,high,f
highest-temperature-in-dallas-on-july-11-2026-94-95f__2026-07-10T0830,2026-07-10T08:30:29Z,Dallas,KDAL,Will the highest temperature in Dallas be between 94-95°F on July 11?,highest-temperature-in-dallas-on-july-11-2026-94-95f,2865579,77214843975792614286463638940276149337593229736672896038432784252081438148988,2026-07-11T12:00:00Z,94.0,95.0,False,False,NO,0.09,100.0,109.8901,109.8901,2.1978,7.6923,-100.0,0.018,7.2,99.3,100.6,206,1.0,,settled,WON,97.2,2026-07-12T08:00:40Z,7.6923,N,high,f
highest-temperature-in-austin-on-july-11-2026-90-91f__2026-07-10T1030,2026-07-10T10:30:34Z,Austin,KAUS,Will the highest temperature in Austin be between 90-91°F on July 11?,highest-temperature-in-austin-on-july-11-2026-90-91f,2865624,5300206625895295143390999636389732176842258254776982038776941834931065110667,2026-07-11T12:00:00Z,90.0,91.0,False,False,NO,0.24,81.9432050123624,107.82,107.82,2.1564,23.7204,-81.9432,0.0361,20.39,95.8,96.7,206,1.0,,settled,WON,86.5,2026-07-12T08:00:41Z,23.7204,N,high,f
highest-temperature-in-nyc-on-july-12-2026-80-81f__2026-07-11T0930,2026-07-11T09:30:25Z,New York City,KLGA,Will the highest temperature in New York City be between 80-81°F on July 12?,highest-temperature-in-nyc-on-july-12-2026-80-81f,2876607,112205490245952801240354147982650470673489773375858785310807695095156299587113,2026-07-12T12:00:00Z,80.0,81.0,False,False,NO,0.08,100.0,108.6957,108.6957,2.1739,6.5218,-100.0,0.0122,6.78,85.0,84.2,206,1.0,,settled,WON,83.8,2026-07-13T08:00:32Z,6.5218,N,high,f
lowest-temperature-in-miami-on-july-12-2026-78-79f__2026-07-11T2230,2026-07-11T22:30:28Z,Miami,KMIA,Will the lowest temperature in Miami be between 78-79°F on July 12?,lowest-temperature-in-miami-on-july-12-2026-78-79f,2876405,112763710003757682200161973999613118061442966686911029745307598283093525963863,2026-07-12T12:00:00Z,78.0,79.0,False,False,NO,0.29,64.16753498763762,90.3768,90.3768,1.8075,24.4017,-64.1675,0.146,14.4,82.6,81.5,206,1.0,,settled,WON,81.3,2026-07-13T08:00:34Z,24.4017,N,low,f
highest-temperature-in-denver-on-july-12-2026-98-99f__2026-07-12T0930,2026-07-12T09:30:18Z,Denver,KBKF,Will the highest temperature in Denver be between 98-99°F on July 12?,highest-temperature-in-denver-on-july-12-2026-98-99f,2876675,36941499069027969278749631203857195584377854492490238710665848677895498565220,2026-07-12T12:00:00Z,98.0,99.0,False,False,NO,0.069,100.0,107.4114,107.4114,2.1482,5.2632,-100.0,0.0033,6.57,94.3,93.4,206,1.0,,settled,WON,95.0,2026-07-13T08:00:36Z,5.2632,N,high,f
highest-temperature-in-chicago-on-july-13-2026-90-91f__2026-07-12T1430,2026-07-12T14:30:17Z,Chicago,KORD,Will the highest temperature in Chicago be between 90-91°F on July 13?,highest-temperature-in-chicago-on-july-13-2026-90-91f,2887950,103967188311821217870732208119041955910507471190813211615120733124803186269513,2026-07-13T12:00:00Z,90.0,91.0,False,False,NO,0.19,91.78088501236238,113.3097,113.3097,2.2662,19.2626,-91.7809,0.0512,13.88,93.7,95.4,206,1.0,,settled,WON,94.1,2026-07-14T08:00:32Z,19.2626,N,high,f
highest-temperature-in-denver-on-july-13-2026-98-99f__2026-07-13T1130,2026-07-13T11:30:32Z,Denver,KBKF,Will the highest temperature in Denver be between 98-99°F on July 13?,highest-temperature-in-denver-on-july-13-2026-98-99f,2887977,23363289930933287355142485981063272521655351290276718351666308198218734082778,2026-07-13T12:00:00Z,98.0,99.0,False,False,NO,0.335,100.0,150.3759,150.3759,3.0075,47.3684,-100.0,0.1301,20.49,96.8,95.4,206,1.0,,settled,WON,95.0,2026-07-14T08:00:33Z,47.3684,N,high,f
highest-temperature-in-san-francisco-on-july-14-2026-74-75f__2026-07-13T1400,2026-07-13T14:00:23Z,San Francisco,KSFO,Will the highest temperature in San Francisco be between 74-75°F on July 14?,highest-temperature-in-san-francisco-on-july-14-2026-74-75f,2901268,49925410151360773705866656598047462257827476161325381892066693501651781273369,2026-07-14T12:00:00Z,74.0,75.0,False,False,NO,0.32,100.0,147.0588,147.0588,2.9412,44.1176,-100.0,0.1214,19.86,83.9,84.7,206,1.0,,settled,WON,83.5,2026-07-15T08:00:34Z,44.1176,N,high,f
lowest-temperature-in-nyc-on-july-15-2026-70-71f__2026-07-14T0200,2026-07-14T02:00:15Z,New York City,KLGA,Will the lowest temperature in New York City be between 70-71°F on July 15?,lowest-temperature-in-nyc-on-july-15-2026-70-71f,2915798,61017809657298296212630907180264244948525950908918442544296614680589114924346,2026-07-15T12:00:00Z,70.0,71.0,False,False,NO,0.19,65.88221498763761,81.3361,81.3361,1.6267,13.8272,-65.8822,0.0,19.0,81.1,80.0,206,1.0,,settled,WON,78.1,2026-07-16T08:00:37Z,13.8272,N,low,f
lowest-temperature-in-nyc-on-july-15-2026-74-75f__2026-07-14T0830,2026-07-14T08:30:22Z,New York City,KLGA,Will the lowest temperature in New York City be between 74-75°F on July 15?,lowest-temperature-in-nyc-on-july-15-2026-74-75f,2915800,31381655507043210544929429423584405162106562644124676525882304640279062971013,2026-07-15T12:00:00Z,74.0,75.0,False,False,NO,0.17,100.0,120.4819,120.4819,2.4096,18.0723,-100.0,0.0169,15.31,80.8,80.6,206,1.0,,settled,WON,78.1,2026-07-16T08:00:39Z,18.0723,N,low,f
